Id,No,Major,Course,Score,Credit
0,173,0,56,77.0,3.5
1,240,0,30,60.0,1.0
2,139,0,51,77.0,2.0
3,343,1,48,45.0,6.0
4,382,2,45,70.0,3.0
5,283,1,20,64.0,4.0
6,196,0,30,70.0,1.0
7,399,2,52,87.0,1.0
8,459,2,187,81.0,0.5
9,476,2,32,75.0,8.0
10,225,0,7,92.0,6.0
11,70,0,42,97.0,1.0
12,48,0,53,66.0,3.0
13,462,2,20,63.0,4.0
14,92,0,1,81.0,4.0
15,250,0,46,85.0,2.0
16,337,1,26,75.0,1.0
17,58,0,20,70.0,4.0
18,93,0,9,73.0,4.5
19,15,0,28,87.0,1.0
20,214,0,12,90.0,1.0
21,316,1,127,69.0,3.0
22,366,2,36,89.0,4.0
23,421,2,40,76.0,1.0
24,377,2,37,92.0,2.0
25,306,1,36,83.0,4.0
26,324,1,6,79.0,4.0
27,180,0,51,87.0,2.0
28,26,0,33,83.0,2.0
29,253,1,155,80.0,0.5
30,16,0,52,91.0,1.0
31,173,0,28,40.0,1.0
32,87,0,37,85.0,2.0
33,4,0,2,84.0,1.0
34,296,1,167,97.0,0.5
35,270,1,53,78.0,3.0
36,33,0,51,93.0,2.0
37,309,1,51,82.0,2.0
38,55,0,56,73.0,3.5
39,159,0,46,85.0,2.0
40,197,0,16,73.0,4.5
41,316,1,30,92.0,1.0
42,110,0,30,60.0,1.0
43,163,0,125,82.0,1.0
44,265,1,42,86.0,1.0
45,22,0,110,75.0,3.5
46,100,0,0,73.0,3.0
47,322,1,124,90.0,0.5
48,207,0,2,76.0,1.0
49,395,2,43,91.0,3.0
50,223,0,1,68.0,4.0
51,252,0,143,82.0,3.0
52,208,0,117,80.0,3.5
53,421,2,32,81.0,8.0
54,90,0,41,67.0,1.0
55,230,0,40,87.0,1.0
56,145,0,4,91.0,2.0
57,374,2,10,87.0,2.0
58,430,2,9,64.0,4.5
59,218,0,7,81.0,6.0
60,211,0,12,88.0,1.0
61,23,0,51,66.0,2.0
62,273,1,162,76.0,3.0
63,199,0,36,73.0,4.0
64,212,0,36,60.0,4.0
65,266,1,28,80.0,1.0
66,479,2,59,93.0,1.0
67,117,0,22,75.0,2.0
68,163,0,8,78.0,6.0
69,465,2,1,79.0,4.0
70,439,2,31,95.0,1.0
71,356,2,24,100.0,1.0
72,466,2,24,94.0,1.0
73,79,0,53,71.0,3.0
74,65,0,35,73.0,4.0
75,450,2,73,82.0,0.5
76,239,0,39,83.0,1.0
77,427,2,13,81.0,2.0
78,118,0,17,72.0,4.0
79,347,2,191,49.0,3.0
80,340,1,52,90.0,1.0
81,382,2,114,87.0,3.0
82,302,1,58,58.0,2.0
83,442,2,13,74.0,2.0
84,155,0,136,70.0,1.0
85,131,0,8,60.0,6.0
86,492,2,50,85.0,4.0
87,11,0,29,61.0,3.0
88,86,0,29,62.0,3.0
89,164,0,58,61.0,2.0
90,9,0,37,85.0,2.0
91,37,0,54,86.0,2.0
92,388,2,49,88.0,1.0
93,367,2,55,82.0,2.0
94,68,0,7,81.0,6.0
95,370,2,46,80.0,2.0
96,73,0,23,80.0,2.0
97,132,0,34,92.0,2.5
98,235,0,27,98.0,2.0
99,87,0,0,75.0,3.0
100,333,1,13,79.0,2.0
101,192,0,29,82.0,3.0
102,385,2,2,87.0,1.0
103,70,0,112,85.0,3.0
104,120,0,10,60.0,2.0
105,206,0,22,77.0,2.0
106,421,2,30,68.0,1.0
107,17,0,27,81.0,2.0
108,173,0,5,96.0,3.0
109,148,0,11,80.0,1.0
110,468,2,16,74.0,4.5
111,354,2,45,64.0,3.0
112,421,2,2,84.0,1.0
113,203,0,113,60.0,2.5
114,230,0,112,88.0,3.0
115,335,1,153,68.0,3.0
116,282,1,2,88.0,1.0
117,4,0,36,76.0,4.0
118,324,1,16,84.0,4.5
119,315,1,24,82.0,1.0
120,466,2,201,83.0,2.0
121,293,1,23,87.0,2.0
122,90,0,32,89.0,8.0
123,231,0,35,73.0,4.0
124,142,0,13,81.0,2.0
125,318,1,163,64.0,3.5
126,374,2,9,88.0,4.5
127,380,2,187,84.0,0.5
128,135,0,56,78.0,3.5
129,255,1,163,44.0,3.5
130,225,0,51,86.0,2.0
131,169,0,52,85.0,1.0
132,143,0,27,99.0,2.0
133,33,0,8,81.0,6.0
134,430,2,189,93.0,3.0
135,121,0,55,69.0,2.0
136,368,2,35,89.0,4.0
137,7,0,16,83.0,4.5
138,166,0,45,82.0,3.0
139,37,0,5,47.0,3.0
140,387,2,28,76.0,1.0
141,329,1,56,74.0,3.5
142,392,2,52,91.0,1.0
143,285,1,59,91.0,1.0
144,281,1,5,89.0,3.0
145,270,1,7,89.0,6.0
146,93,0,12,86.0,1.0
147,492,2,24,97.0,1.0
148,142,0,29,86.0,3.0
149,15,0,111,60.0,2.5
150,275,1,42,85.0,1.0
151,90,0,50,75.0,4.0
152,93,0,30,60.0,1.0
153,342,1,11,63.0,1.0
154,246,0,43,80.0,3.0
155,136,0,56,66.0,3.5
156,444,2,188,66.0,3.0
157,407,2,15,60.0,3.5
158,23,0,42,72.0,1.0
159,428,2,3,72.0,2.0
160,446,2,2,82.0,1.0
161,207,0,6,77.0,4.0
162,82,0,45,72.0,3.0
163,153,0,109,62.0,3.0
164,253,1,152,72.0,3.0
165,336,1,54,85.0,2.0
166,377,2,58,75.0,2.0
167,199,0,28,80.0,1.0
168,343,1,58,55.0,2.0
169,359,2,49,92.0,1.0
170,92,0,10,72.0,2.0
171,67,0,20,87.0,4.0
172,310,1,24,75.0,1.0
173,482,2,6,79.0,4.0
174,475,2,6,75.0,4.0
175,449,2,55,79.0,2.0
176,422,2,30,84.0,1.0
177,186,0,131,87.0,2.5
178,403,2,6,70.0,4.0
179,344,2,189,97.0,3.0
180,427,2,2,85.0,1.0
181,490,2,13,81.0,2.0
182,443,2,195,74.0,2.0
183,297,1,25,94.0,3
184,39,0,5,80.0,3.0
185,138,0,45,88.0,3.0
186,307,1,157,86.0,1.0
187,440,2,25,93.0,3.0
188,113,0,55,74.0,2.0
189,361,2,6,76.0,4.0
190,396,2,53,80.0,3.0
191,94,0,53,69.0,3.0
192,146,0,45,74.0,3.0
193,355,2,9,74.0,4.5
194,336,1,46,89.0,2.0
195,418,2,43,65.0,3.0
196,232,0,3,90.0,2.0
197,374,2,49,65.0,1.0
198,128,0,31,90.0,1.0
199,392,2,15,60.0,3.5
200,46,0,35,61.0,4.0
201,231,0,43,79.0,3.0
202,317,1,51,78.0,2.0
203,61,0,33,83.2,2.0
204,30,0,12,83.0,1.0
205,274,1,28,85.0,1.0
206,467,2,15,70.0,3.5
207,486,2,35,87.0,4.0
